source_id,reference_id,source_name,reference_path,reference_name,method,confidence
24573,24354,Коропові мати і мішки,Аксесуари > Мішені,Мішені,ai,medium
24575,24353,Рибальські коробки,Аксесуари > Коробки,Коробки,ai,medium
24590,24346,Рибальські сумки Brain,Спорядження > Сумки,Сумки,ai,medium
24591,24346,Рибальські сумки Shimano,Спорядження > Сумки,Сумки,ai,medium
24612,24345,Select рюкзаки та сумки,Спорядження > Рюкзаки,Рюкзаки,ai,medium
24613,24396,Ножі Ganzo 7а серія,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24614,24323,Skif інструменти,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24616,24396,Skif ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24618,24396,Benchmade ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24619,24396,Acta Non Verba ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24620,24396,StatGear ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24621,24348,Вішери для зброї Ballistol,"Чистка та догляд > Насадки (йоржики, вішери і т.д.)","Насадки (йоржики, вішери і т.д.)",ai,medium
24622,24351,Засоби для чищення зброї,Чистка та догляд > Засоби,Засоби,ai,medium
24623,24351,Мастила для зброї Ballistol,Чистка та догляд > Засоби,Засоби,ai,medium
24624,24349,Патчі для чищення зброї Ballistol,Чистка та догляд > Патчі,Патчі,ai,medium
24625,24351,Серветки для чищення зброї Ballistol,Чистка та догляд > Засоби,Засоби,ai,medium
24626,24352,Шомполи для зброї Ballistol,Чистка та догляд > Шомпола,Шомпола,ai,medium
24627,24338,Olight ліхтарі,Ліхтарі > Тактичні,Тактичні,ai,medium
24636,24359,Skif Outdoor аксесуари,Одяг та взуття > Аксесуари,Аксесуари,ai,medium
24640,24359,BRS аксесуари,Одяг та взуття > Аксесуари,Аксесуари,ai,medium
24643,24396,Lionsteel ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24645,24323,Fix it Sticks інструменти,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24646,24323,Due Cigni інструменти,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24647,24396,Due Cigni ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24648,24327,Due Cigni точила,Ножі та інструменти > Точильні пристосування,Точильні пристосування,ai,medium
24649,24323,Naturehike інструменти,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24650,24340,Naturehike ліхтарі,Ліхтарі > Прожектори та кемпінгові ліхтарі,Прожектори та кемпінгові ліхтарі,ai,medium
24654,24345,Naturehike рюкзаки та сумки,Спорядження > Рюкзаки,Рюкзаки,ai,medium
24661,24323,Сold Steel інструменти,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24663,24323,Microtech інструменти,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24664,24373,Fox Leather аксесуари до ножів,Ножі та інструменти > Аксесуари та комплектуючі > Чохли,Чохли,ai,medium
24665,24396,Fox Leather ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24666,24396,Skif Plus ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24670,24396,Shimomura ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24671,24360,Naturehike рукавиці,Одяг та взуття > Інше,Інше,ai,medium
24672,24338,Olight ліхтарі,Ліхтарі > Тактичні,Тактичні,ai,medium
24674,24327,"Hapstone точила, аксесуари",Ножі та інструменти > Точильні пристосування,Точильні пристосування,ai,medium
24675,24360,Naturehike одяг,Одяг та взуття > Інше,Інше,ai,medium
24676,24396,Ножі Adimanti Samson by Ganzo,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24680,24326,Adimanti сокири,"Ножі та інструменти > Сокири, лопати та інше","Сокири, лопати та інше",ai,medium
24681,24396,Roxon ножi,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24683,24421,Adimanti газові балони,Зброя > Пневматична зброя > Аксесуари та комплектуючі > Балони СО2,Балони СО2,ai,medium
24686,24351,Масла Milfoam,Чистка та догляд > Засоби,Засоби,ai,medium
24687,24351,Піна Milfoam,Чистка та догляд > Засоби,Засоби,ai,medium
24688,24396,Buck ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24689,24323,Інструмент Real Avid,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24690,24323,Йорж Real Avid,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24692,24323,Мульти Інструмент Real Avid,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24693,24351,Набір для чистки Real Avid,Чистка та догляд > Засоби,Засоби,ai,medium
24694,24323,Набори Real Avid,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24696,24348,Протяжка Real Avid,"Чистка та догляд > Насадки (йоржики, вішери і т.д.)","Насадки (йоржики, вішери і т.д.)",ai,medium
24697,24352,Шомпол Real Avid,Чистка та догляд > Шомпола,Шомпола,ai,medium
24700,24396,CRKT ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24702,24323,Leatherman Інструменти,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24704,24323,Victorinox інструменти,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24705,24396,Civivi ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24706,24344,Condor жилети тактичні,Спорядження > Розгрузки,Розгрузки,ai,medium
24709,24345,"Condor гідратори, рюкзаки",Спорядження > Рюкзаки,Рюкзаки,ai,medium
24715,24351,Засоби для догляду за зброєю GNP,Чистка та догляд > Засоби,Засоби,ai,medium
24717,24351,Засоби для догляду за зброєю Bore Tech,Чистка та догляд > Засоби,Засоби,ai,medium
24718,24348,Йоржі для зброї Bore Tech,"Чистка та догляд > Насадки (йоржики, вішери і т.д.)","Насадки (йоржики, вішери і т.д.)",ai,medium
24719,24351,Мастила для зброї Bore Tech,Чистка та догляд > Засоби,Засоби,ai,medium
24720,24349,Патчі для чищення зброї Bore Tech,Чистка та догляд > Патчі,Патчі,ai,medium
24721,24352,Шомполи для зброї Bore Tech,Чистка та догляд > Шомпола,Шомпола,ai,medium
24722,24396,Artisan ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24723,24345,"Outac рюкзаки, підсумки",Спорядження > Рюкзаки,Рюкзаки,ai,medium
24726,24341,Cold Steel спорядження та аксесуари,Спорядження > Кобури та сумки,Кобури та сумки,ai,medium
24728,24396,Active ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24735,24396,Ножі Firebird 8а серія,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24736,24351,Аерозолі Ballistol від комах,Чистка та догляд > Засоби,Засоби,ai,medium
24740,24396,Lansky ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24741,24344,Defcon 5  жилети тактичні,Спорядження > Розгрузки,Розгрузки,ai,medium
24742,24345,"Defcon 5  рюкзаки, підсумки",Спорядження > Рюкзаки,Рюкзаки,ai,medium
24746,24396,Sencut ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24747,24396,Weknife ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24753,24409,Пневматичні гвинтівки Beeman,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пневматичні гвинтівки PCP (з попереднім накачуванням),Пневматичні гвинтівки PCP (з попереднім накачуванням),ai,medium
24759,24417,Пневматичні пістолети Retay,Зброя > Пневматична зброя > Пневматичні пістолети > З попереднім накачуванням PCP,З попереднім накачуванням PCP,ai,medium
24760,24397,Ножі Helle,Ножі та інструменти > Ножі > Ножі з фіксованим клинком,Ножі з фіксованим клинком,ai,medium
24761,24323,Real Avid інструменти,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24762,24351,Засоби для чищення Hoppe`s,Чистка та догляд > Засоби,Засоби,ai,medium
24763,24397,Peltonen ножі,Ножі та інструменти > Ножі > Ножі з фіксованим клинком,Ножі з фіксованим клинком,ai,medium
24766,24323,Active інструменти,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24768,24351,Засоби для чищення зброї Терен,Чистка та догляд > Засоби,Засоби,ai,medium
24771,24417,Пневматичні пістолети ASG,Зброя > Пневматична зброя > Пневматичні пістолети > З попереднім накачуванням PCP,З попереднім накачуванням PCP,ai,medium
24774,24417,Пневматичні пістолети SAS,Зброя > Пневматична зброя > Пневматичні пістолети > З попереднім накачуванням PCP,З попереднім накачуванням PCP,ai,medium
24775,24409,Пневматичні гвинтівки Crosman,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пневматичні гвинтівки PCP (з попереднім накачуванням),Пневматичні гвинтівки PCP (з попереднім накачуванням),ai,medium
24776,24409,Пневматичні гвинтівки Optima,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пневматичні гвинтівки PCP (з попереднім накачуванням),Пневматичні гвинтівки PCP (з попереднім накачуванням),ai,medium
24777,24409,Пневматичні гвинтівки Sig Sauer Air,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пневматичні гвинтівки PCP (з попереднім накачуванням),Пневматичні гвинтівки PCP (з попереднім накачуванням),ai,medium
24839,24360,Naturehike взуття,Одяг та взуття > Інше,Інше,ai,medium
24862,24325,Сivivi тактичні ручки,Ножі та інструменти > Тактичні ручки,Тактичні ручки,ai,medium
24867,24344,Leapers жилети тактичні,Спорядження > Розгрузки,Розгрузки,ai,medium
24868,24344,Leapers тактичні ремені,Спорядження > Розгрузки,Розгрузки,ai,medium
24869,24345,"Leapers гідратори, рюкзаки",Спорядження > Рюкзаки,Рюкзаки,ai,medium
24870,24345,Leapers рюкзаки та сумки,Спорядження > Рюкзаки,Рюкзаки,ai,medium
24871,24409,Пневматичні гвинтівки Gamo,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пневматичні гвинтівки PCP (з попереднім накачуванням),Пневматичні гвинтівки PCP (з попереднім накачуванням),ai,medium
24872,24417,Пневматичні пістолети Gamo,Зброя > Пневматична зброя > Пневматичні пістолети > З попереднім накачуванням PCP,З попереднім накачуванням PCP,ai,medium
24873,24345,Snugpak рюкзаки та сумки,Спорядження > Рюкзаки,Рюкзаки,ai,medium
24874,24360,Helikon-Tex одяг,Одяг та взуття > Інше,Інше,ai,medium
24875,24360,Helikon-Tex рукавички,Одяг та взуття > Інше,Інше,ai,medium
24876,24345,Helikon-Tex рюкзаки та сумки,Спорядження > Рюкзаки,Рюкзаки,ai,medium
24883,24327,"Kanetsune точила, аксесуари",Ножі та інструменти > Точильні пристосування,Точильні пристосування,ai,medium
24884,24396,Real Avid ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24887,24344,Ukrarmor тактичні ремені,Спорядження > Розгрузки,Розгрузки,ai,medium
24888,24345,Ukrarmor рюкзаки та сумки,Спорядження > Рюкзаки,Рюкзаки,ai,medium
24890,24351,Засоби для догляду за зброєю MTM,Чистка та догляд > Засоби,Засоби,ai,medium
24895,24323,Benchmade інструменти,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24897,24397,Old Bear ножі,Ножі та інструменти > Ножі > Ножі з фіксованим клинком,Ножі з фіксованим клинком,ai,medium
24898,24326,Сила лопати,"Ножі та інструменти > Сокири, лопати та інше","Сокири, лопати та інше",ai,medium
24899,24338,Nextorch ліхтарі,Ліхтарі > Тактичні,Тактичні,ai,medium
24907,24351,Велосипедні мастила Brunox,Чистка та догляд > Засоби,Засоби,ai,medium
24908,24351,Інгібітори корозії Brunox,Чистка та догляд > Засоби,Засоби,ai,medium
24909,24351,Мастила для догляду за карбоном Brunox,Чистка та догляд > Засоби,Засоби,ai,medium
24910,24351,Мастила для зброї Brunox,Чистка та догляд > Засоби,Засоби,ai,medium
24911,24351,Мастило для замків Brunox,Чистка та догляд > Засоби,Засоби,ai,medium
24912,24351,Перетворювачі іржі Brunox,Чистка та догляд > Засоби,Засоби,ai,medium
24913,24351,Універсальні мастила Brunox,Чистка та догляд > Засоби,Засоби,ai,medium
24923,24370,Nextorch аксесуари,Оптика > Аксесуари та комплектуючі > Інше,Інше,ai,medium
24928,24371,Сила ножиці,Ножі та інструменти > Аксесуари та комплектуючі > Ножни,Ножни,ai,medium
24929,24326,Сила сокири,"Ножі та інструменти > Сокири, лопати та інше","Сокири, лопати та інше",ai,medium
24936,24323,Сила мультитули,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24938,24396,Сила ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24962,24415,Пневматичні пістолети Ekol,Зброя > Пневматична зброя > Пневматичні пістолети > Пружинно-поршневі,Пружинно-поршневі,ai,medium
24963,24351,Мастила для зброї Umarex,Чистка та догляд > Засоби,Засоби,ai,medium
24966,24351,Flextail багатофункціональні фумігатори,Чистка та догляд > Засоби,Засоби,ai,medium
24492,24371,Work Sharp професiйнi кухоннi точилки электричнi,Ножі та інструменти > Аксесуари та комплектуючі > Ножни,Ножни,ai_force,medium
24493,24327,Work Sharp унiверсальнi точилки электричнi,Ножі та інструменти > Точильні пристосування,Точильні пристосування,ai_force,medium
24513,24327,Risam точила і каміння,Ножі та інструменти > Точильні пристосування,Точильні пристосування,ai_force,medium
24531,24327,WorkSharp ручні точила,Ножі та інструменти > Точильні пристосування,Точильні пристосування,ai_force,medium
24778,24417,Пневматичні пістолети Sig Sauer Air,Зброя > Пневматична зброя > Пневматичні пістолети > З попереднім накачуванням PCP,З попереднім накачуванням PCP,ai_force,medium
24780,24348,Йоржі для зброї MEGAline,"Чистка та догляд > Насадки (йоржики, вішери і т.д.)","Насадки (йоржики, вішери і т.д.)",ai_force,medium
24781,24351,Мастила RecOil,Чистка та догляд > Засоби,Засоби,ai_force,medium
24782,24351,Набори для чищення MEGAline,Чистка та догляд > Засоби,Засоби,ai_force,medium
24784,24352,Шомполи для зброї MEGAline,Чистка та догляд > Шомпола,Шомпола,ai_force,medium
24786,24417,Пневматичні пістолети Beeman,Зброя > Пневматична зброя > Пневматичні пістолети > З попереднім накачуванням PCP,З попереднім накачуванням PCP,ai_force,medium
24787,24351,Засоби для догляду за зброєю Dewey,Чистка та догляд > Засоби,Засоби,ai_force,medium
24788,24351,Засоби для чищення зброї J-B,Чистка та догляд > Засоби,Засоби,ai_force,medium
24790,24396,Ножі TB Outdoor,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai_force,medium
24791,24396,Extrema Ratio ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai_force,medium
24793,24419,Кулі для пневматики JSB,Зброя > Пневматична зброя > Набої > Кульки та кулі,Кульки та кулі,ai_force,medium
24822,24360,Naturehike кепки та панами,Одяг та взуття > Інше,Інше,ai_force,medium
24823,24360,Naturehike пов'язки,Одяг та взуття > Інше,Інше,ai_force,medium
24824,24360,Naturehike термобілизна чоловіча,Одяг та взуття > Інше,Інше,ai_force,medium
24825,24360,Naturehike шапки,Одяг та взуття > Інше,Інше,ai_force,medium
24826,24360,Naturehike шкарпетки,Одяг та взуття > Інше,Інше,ai_force,medium
24827,24360,Naturehike штани,Одяг та взуття > Інше,Інше,ai_force,medium
24860,24408,Пневматичні гвинтівки Umarex,Зброя > Пневматична зброя > Пневматичні гвинтівки > З газовою пружиною,З газовою пружиною,ai_force,medium
24861,24417,Пневматичні пістолети Umarex,Зброя > Пневматична зброя > Пневматичні пістолети > З попереднім накачуванням PCP,З попереднім накачуванням PCP,ai_force,medium
24939,24360,Сила одяг,Одяг та взуття > Інше,Інше,ai_force,medium
