source_id,source_name,reference_id,reference_name,reference_path,method,confidence
25062,Тепловізійні насадки AGM,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25063,Тепловізійні насадки PARD,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25064,Dji Mavic 3,24434,Квадрокоптери,Дрони та безпілотники > Квадрокоптери,ai_deep,high
25065,FPV дрони,24435,FPV,Дрони та безпілотники > FPV,ai_deep,high
25067,Квадрокоптеры DJI Matrice 4,24434,Квадрокоптери,Дрони та безпілотники > Квадрокоптери,ai_deep,high
25068,Квадрокоптери з тепловізором,24434,Квадрокоптери,Дрони та безпілотники > Квадрокоптери,ai_deep,high
25072,Тепловізійні біноклі ATN,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,ai_deep,high
25073,Тепловізійні біноклі Fortuna,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,ai_deep,high
25074,Тепловізійні біноклі HIKVISION,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,ai_deep,high
25075,Тепловізійні біноклі iRay (INFIRAY),24387,Біноклі,Оптика > Прилади спостереження > Біноклі,ai_deep,high
25076,Тепловізійні біноклі FLIR,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,ai_deep,high
25077,Тепловізійні біноклі Delta,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,ai_deep,high
25078,Тепловізійні біноклі Dipol,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,ai_deep,high
25079,Старлінк на авто,24440,Starlink,Зв'язок > Starlink,ai_deep,high
25086,Приціли нічного бачення HikMicro,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25094,Приціли нічного бачення ARMASIGHT,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25100,Монокуляри нічного бачення PVS 14,24390,Монокуляри,Оптика > Прилади спостереження > Монокуляри,ai_deep,high
25101,Монокуляри нічного бачення Yukon,24390,Монокуляри,Оптика > Прилади спостереження > Монокуляри,ai_deep,high
25104,Окуляри нічного бачення AGM,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25107,Окуляри нічного бачення Yukon,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25115,Прилади нічного бачення Nortis,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25116,Насадки нічного бачення PARD,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25117,Насадки нічного бачення PULSAR,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25118,Оптичні приціли Leupold,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25119,Оптичні приціли BURRIS,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25120,Оптичні приціли Vector Optics,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25121,Оптичні приціли HAKKO,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25122,Оптичні приціли VEBER,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25123,Оптичні приціли Yukon,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25124,Оптичні приціли БелОМО,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25125,Оптические прицелы Nikon,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25126,Оптичні приціли VORTEX,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25127,Оптичні приціли Dedal,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25128,Оптичні приціли KONUS,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25129,Оптичні приціли STURMAN,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25130,Оптичні приціли BUSHNELL,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25131,Оптичні приціли HAWKE,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25132,Оптичні приціли ВОМЗ,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25133,Оптичні приціли Leica,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25134,Оптичні приціли Nightforce,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25135,Оптичні приціли NIKKO STIRLING,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25136,Оптичні приціли SIGHTRON,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25137,Оптичні приціли BSA-OPTICS,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25138,Оптичні приціли LEAPERS,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25139,Оптичні приціли SCHMIDT & BENDER,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25140,Оптичні приціли SWAROVSKI,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25141,Коліматорні приціли Hakko,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25142,Коліматорні приціли Leupold,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25143,Коліматорні приціли ВОМЗ Пілад,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25144,Коліматорні приціли Zenit,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25145,Коліматорний приціл EOTech,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25146,Коліматорні приціли Burris,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25147,Коліматорні приціли Aimpoint,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25148,Коліматорні приціли Sightmark,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25149,Коліматорні приціли БелОМО,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25150,Коліматорні приціли Holosun,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25151,Коліматорні приціли Konus,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25152,Коліматорні приціли STURMAN,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25153,Коліматорні приціли BUSHNELL,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai_deep,high
25158,РЕБ рюкзак,24345,Рюкзаки,Спорядження > Рюкзаки,ai_deep,high
25159,Лазерні далекоміри ATN,24329,Далекоміри,Оптика > Далекоміри,ai_deep,high
25160,Лазерні далекоміри Leica,24329,Далекоміри,Оптика > Далекоміри,ai_deep,high
25162,Лазерні далекоміри Bushnell,24329,Далекоміри,Оптика > Далекоміри,ai_deep,high
25163,Лазерні далекоміри Nikon,24329,Далекоміри,Оптика > Далекоміри,ai_deep,high
25164,Лазерні далекоміри Leupold,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25165,Лазерні далекоміри Opti-Logic,24329,Далекоміри,Оптика > Далекоміри,ai_deep,high
25167,Лазерні далекоміри Carl Zeiss,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25169,Лазерні далекоміри Veber,24329,Далекоміри,Оптика > Далекоміри,ai_deep,high
25172,Джерела живлення,24366,Елементи живлення,Ліхтарі > Аксесуари для ліхтарів > Елементи живлення,ai_deep,high
25173,Інфрачервоні ліхтарі,24336,Ручні та кишенькові ліхтарі,Ліхтарі > Ручні та кишенькові ліхтарі,ai_deep,high
25175,Cabin,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25198,Panther,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25200,Thunder,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25210,Thermion,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25212,Trail,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25220,Secutor,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25222,Varmint,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25226,REX S series,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25229,MARS 4 на 640 матриці,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25231,MARS LT,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25232,Venator,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25235,T4 Pro / Hunter,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25243,NVECTech серія SCL,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25249,PREDATOR,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25250,ZEUS,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25251,Accolade,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,ai_deep,high
25252,Accolade LRF,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,ai_deep,high
25253,Тепловізійні біноклі AGM ObservIR,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,ai_deep,high
25254,X-Sight 4K Pro,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25256,X-Sight II HD,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25259,Pulsar Digisight,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25260,Yukon Sightline,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
